Baptist Church	浸信會基督教更生團體之一，強調施行浸禮的重要性。又稱 Baptists 。 
the Counter-Reformation	天主教復興；反宗教改革自 1545 年特倫多大公會議(Council of Trent)後一百年間，天主教內之各種復興運動，是受到十六世紀路德派、加爾文派、英國國教 … 與天主教分庭抗禮之刺激。 
human law	人律；人的法律指由人所訂的行為的規範－包括教會和政府所頒佈的法條。 
Our Lady of Guadalupe	瓜達露北聖母 1531 年聖母在墨西哥瓜達露北，顯現給印地安人若望．狄埃高(Juan Diego)，言明自己是基督的母親，也希望在原地建一聖殿；不久聖殿即建造完成，成為著名朝聖地，曆久不衰。為墨西哥及美洲的主保，慶日在十二月十二日。 
dogmatic theology	教理神學；信理神學；教義神學列舉有關天主的各種信理之神學。 
minor superior	地方上司（長上）職掌修會會省以下會務者。 
lax conscience	散漫良心；馬虎良心；粗心。 
Roman (Catholic) Church	羅馬天主教會。詳見 Roman Catholic 及 Church, Catholic 。 
ecclesiastical superior	神長職掌教會團體事務的聖職人員，通常也稱上司或長上。 
private vow	私願；私人誓願個人私下向天主所許諾的誓願（約）。與公願相對照。 
private or domestic oratory	私用小聖堂按教會法，僅為私人或一家庭所設立之小教堂。譬如天主教國家之元首即可擁有此種小聖堂。詳見 church 。 
spiritual exercise	 (1) 靈修功夫；熱心神工；神業。 (2) 退省；避靜；神操。 
Church history	教會歷史指天國在今世的歷史，天主教自成立以來，常在逆境和迫害中成長。可分為四階段 (1) 從基督降生至西元 680 年，是古代基督宗教時代。 (2) 從 680 年至 1500 年，除東正教分出外，中世紀西方基督宗教仍屬同一領袖－教宗。 (3) 從 1500 年至 1870 年，西方基督宗教面臨改革和分裂，然而在美洲、亞洲、非洲卻如雨後春筍，欣欣向榮。 (4) 從 1870 年至今，面臨新的時代和考驗，尤其在梵二大公會議後，更不斷檢討改進，迎向新的挑戰。 
the Precursor	基督先驅指聖若翰洗者 John the Baptist （路一 17，76)，他是耶穌的開路先鋒，教人悔過自新，準備救世主的來臨（參閱瑪三 1-17)。 
Blessed Virgin of the Rosary	聖母玫瑰節；玫瑰聖母節慶節日在 十月七日 。 
mystical union	神秘結合靈魂與天主的密切結合，是天主賜與的特殊恩惠。 
heroic virtue	英勇（豪）之德；超凡之德非一般凡夫俗子所能表現出的德行。 
funeral Mass	安葬彌撒；殯葬彌撒。同 funeral 或 exequial Mass 。 
Act of Reparation to the Sacred Heart	向耶穌聖心贖罪（頌）敬禮。 
evangelical counsel	福音勸諭拉丁文稱作　 consilia evangelica ，意指基督于福音聖訓中，除命令世人嚴格遵守十誡(precepts)外，也奉勸世人更上一層樓，修煉貧窮、貞潔、服從三美德。而男女會士響應耶穌的此一號召，以貧窮（神貧）、貞潔、服從三誓願的方式，跟隨耶穌虔度獻身生活。 
charismatic renewal	神恩復興運動。 
Council of Ephesus	厄弗所大公會議舉行於 431 年，會中宣佈聖母得稱為天主之母。 
Holy Trinity	三位一體；天主聖三即聖父、聖子、聖神（靈）。唯一的天主，卻有三位。天主聖三奧跡包括愛的給予〔陽〕、愛的接受〔陰〕、愛的合一〔合〕。又稱 Blessed Trinity 。 
third order	第三會有些在俗善會（教友）成員，分享某修會之精神，並在該會高級上司指導下，度使徒生活，此種社團稱為第三會，或其他名稱（法典 303)。 
the Maryknoll Sisters	瑪利諾會修女以外方傳教為職志的道明修女會，母院設在美國紐約的瑪利諾。透過教育、醫療、福利等途徑從事福傳工作，足跡遍佈美國、亞洲、非洲、拉丁美洲、太平洋，包括臺灣在內。 
spiritual theology	神修學；靈修學是助人修持身心，以達到與天主合一的終極圓滿境界之學科。 
cardinal feast	主要慶節指主顯節、復活節、聖神降臨節。 
Council of Chalcedon	加采東大會天主教於 451 年在加采東所召開的第四次大公會議，聲明基督有「神、人兩性一位」。 
apostolic prefecture	宗座監牧區通常在傳教地區，尚未建立教會聖統 hierarchy 時期的一種初期傳教行政區域；我國通常亦稱為教區。其負責人稱之為監牧 apostolic prefect 。 
petrine privilege	伯鐸特權，詳見 petrine privilege 。 
Primitive Church	初期教會指第一個因耶穌基督之名而聚集的團體，源於新約。初期教會誕生於東方閃族和希臘文化交會之點，成員包括猶太人和外邦人。 
Apostolica (L.) Camera	教廷財務院教廷機構之一，負責管理教廷財務；成立於十一世紀。或稱作 Camera, Romana 。 
Christian Unity	基督徒的合一。 
religious freedom	宗教自由；信仰自由人類是生而自由的，也是美國總統羅斯福于 1941 年所宣導的四大自由之一。梵二大公會議宣示社會應給與個人按自己的良心信仰宗教的自由，不得用任何方式阻止或威脅之。法典 227 、 748 條亦有明文規定。 
Book of Ruth	盧德傳；路德記（基）舊約史書之一。中心人物為盧德，她原是外邦女子，嫁與猶太人為妻，丈夫死後自願留在猶太，與守寡的婆母相依為命，堪稱忠孝典型。後改嫁丈夫的親戚波阿次－達味(David)之先祖，亦為耶穌家譜中四位著名婦女之一。此書指出上主雖選取以色列民族，但未忘其他民族，卻足以彰顯救恩之普遍性。 
pastoral ministry	牧靈職務指牧者為人群服務，多指經由聖職聖事（受祝聖的）接受的管理、培養、領導等職務，亦指（未受祝聖的）全體教友的一般牧靈職務。 
solemn (high) Mass	大禮彌撒舊稱五、六品大彌撒，指附帶歌唱、奉香等較隆重禮儀的彌撒。是梵二大公會議前的稱呼。 
temporal punishment	暫罰指人在世間或在煉獄所受之暫時性的罪罰。 
papal knight	教廷爵士；教宗爵士；騎士；都騎尉根據教廷年鑒有下列五種 (1) 基督最高爵士 Supreme Order of Christ (1319 年教宗若望廿二世創）。 (2) 聖大國瑞爵士 Order of St. Gregory the Great (1831 年教宗國瑞十六世創）。 (3) 聖思維爵士 Order of Pope St. Sylvester (1841 年教宗國瑞十六世創）。 (4) 碧岳爵士 Order of Pius (1847 年教宗碧嶽九世創）。 (5) 金馬刺爵士 Order of the Golden Spur (1905 年教宗碧嶽十世創）。爵士為教宗頒賜教友之榮銜；但金馬刺與碧岳兩種爵士亦可贈與教外人士。 
sacred vessel	祭器；聖器舉行聖祭時所使用的器皿，如聖爵、聖體盒等。 
side altar	次要祭台；偏祭台昔日教堂兩側的祭台；與正祭台 main altar 相對照。 
scriptural glosses	聖經注解解釋聖經章句的注釋。 
Councils of Nicaea	尼西（才）亞大公會議因在小亞細亞古城尼西（才）亞召開而得名。第一屆於 325 年召開，聲明基督與聖父同性同體；第二屆於 787 年召開，聲明敬禮聖像合乎教理。 
coadjutor bishop	助理主教；主教代表指因教區牧靈之需要，協助教區主教的副手，一經祝聖為主教，當教區正權主教出缺時就有繼承權（法典 403-411)。 
Our Lady of Chartres	沙爾德聖母大堂該堂早在西元 67 年建于法國沙爾德，並於 1220 年重建，美輪美奐，堂中藏有相傳聖母用過的頭巾。 
physical person	自然人人因洗禮加入基督的教會，成為教會的一份子，並享有基督徒應有的權利與義務。年滿 18 歲者為成年人－有能力行使自己的權利和義務；未成年人行使其權利時，得依從父母或監護人的權力（參閱法典 96-112)。 
Book of Joel	嶽厄爾書；約珥書（基）舊約十二小先知書之一；先知勸百姓悔過自新，懇求天主憐恤，一旦悔改，天主必會再度賜給他們幸福快樂的生活。 
ecclesiastical office	教會職務指為達成神性目的，由天主或教會以固定方式所設立的職務（法典 145)。 
Sacred Congregation of the Oriental Churches	東方禮儀部；東方教會部 1862 年由教宗碧嶽九世所成立，原附屬於傳信部。 1917 年教宗本篤十五世(Benedict XV)使其獨立，主管東方教會的一切事務。梵二後，教宗保祿六世於 1967 年又重新改組，負責處理與羅馬教會合一、而在禮儀上仍保持東方教會傳統的事務。 
Sacred Consistorial Congregation	御前會議部；教區部；教務部由教宗思道五世(Sixtus Ⅴ)於 1587 年設立，今已改為主教部 Congregation for Bishops 。 
original sin	原罪 (1) 指人類始祖亞當與夏娃所犯背叛天主之罪。 (2) 指原罪對原祖後裔之遺害，詳見 original sin 。 
apostolic prefect	宗座監牧；監牧某些地區（教友），因特殊環境而未成立教區，委託宗座監牧 apostolic prefect 以教宗名義治理之（法典 371)。通常由神父擔任，我國亦尊稱為主教。但亦有主教出任此職者。 
ancestor　 worship	 祖先崇拜；祭祖；敬祖是中國五千年的文化傳統，基於靈魂不死的信念，是對祖先懷念、感恩、盡孝的表現。天主教贊成祭祖，只是對祭祖儀式是否含有迷信成分曾一度意見分歧，因而發生所謂中國禮儀之爭，現早已雨過天青。詳見 Chinese Rite Controversy 。 
the Lateran	 (1) 拉特朗大殿；拉特蘭大教堂；聖若望（翰）大殿羅馬主教－教宗之座堂。又稱救世主大殿。 (2) 拉特蘭宮；昔為君士坦丁大帝贈與教宗之宮殿，多次重複修建，後改為傳教文物博物館，今為羅馬教區辦事處。 
cases of conscience	良心個案；良心問題探討在各種境遇中，應如何配合良心或教會法問題。 
Book of Isaiah	依撒意亞書；以賽亞書（基）為舊約四大先知書之一；書分為二部，前部記述西元前八世紀以色列之情況，預言默西亞的誕生，及其贖罪救世的大業。第二部又稱為「慰藉之書」，說明天主乃流徙人民之希望和精神之寄託。 
Vatican Council	梵蒂岡大公會議。詳見本書附錄。 
pius association	善會乃教會認可的團體，一些志同道合的平信徒，共同努力培養更完美的生活或推行公共敬禮、或傳佈基督真理、或從事其他使徒工作－為福傳鋪路、或舉辦愛心慈善事業、或以基督化精神振奮現世秩序。此種善會與獻身生活會及使徒生活團不同，其成員身份不限，聖職人員及平信徒均可參加（法典 298)。有公立和私立之分，前者由宗座或主教成立，後者由平信徒經教會主管批准後而設立（參閱法典 312-329)。 
St. Michael	聖彌格；聖彌額爾；米迦勒（基）總領天使之一（默十二 7)；慶日在九月廿九日。現多用 Micah 。 
Pope John Paul II	教宗若望保祿二世 1920 年生於波蘭，為自 1522 年來第一位非義大利籍教宗。他的牧靈之旅幾乎遍及全球各地，堪稱現代偉大教宗之一。 
the commendation of a soul	送終祈禱；臨終經為死期已近、即將面見天主的人祈禱。 
latae (L.) sententiae	自科罰詳見 poena latae sententiae 。 
first (Holy) Communion	初領聖體；開聖體指教友初次領聖體。歐美習慣，幼童初領聖體，禮儀十分隆重，父母並為之舉行慶祝。 
nuptial Mass	婚禮彌撒；婚配彌撒。 
particular church	個別教會；地方教會。參閱 church, local 。 
Holy Shroud	聖殮布耶穌聖屍所用之殮布。現存于義大利都林主教座堂中者，相傳即為包裹耶穌的（長約十四英尺之）殮布，因為上面印著模糊的被釘者的全身肖像， 1898 年開始接受科學家考證殮布的真偽。至今尚無定論，教會靜觀其變。但私人敬禮絡繹不絕。 
Advent Wreath	 將臨期花環指在將臨期，置於教堂或家中的花環，每週點燃一枝蠟燭，以迎接聖誕，詳見 Advent Wreath 。 
Catholic education	天主教教育父母有教育其子女的義務和權利，包括接受天主教教育在內，而人靈的牧者有責任運用一切方法，務使所有信徒均能獲得天主教教育（參閱法典 793-795)。 
episcopal see	牧座；主教座；教區主教所轄之區域及許可權。如臺北總主教，大臺北地區和宜蘭縣即為其牧座。 
intellectual virtues	理智之德追求真理的好習慣，如聰明、智慧、謹慎等。 
Epistle to the Romans	羅馬書聖經新約中，保祿書信之一，書信寫於西元 57 年或 58 年。信中討論人染有原罪，只靠己力無法得救，應藉天主恩寵始能成義 justification 。 
Protestant Church	基督教誓反教一般指脫離羅馬天主教和東正教的基督教會或團體。教會的角色有二 (1) 精神本質，亦即教會是信仰及友愛的團體，屬於聖神的工作，非人力所能控制。 (2) 外在表現，亦即教會也是一個人世間、歷史中的制度，在每一時代表現出具體的生活方式的團體。後者是造成基督教會內分歧的原因。參閱 Protestant(-ism) 。 
Eucharistic bread	面餅；祭餅；聖餅原為彌撒中所用的以小麥麵粉製成的無酵圓形餅，經司祭祝聖後，成為耶穌的聖體。 
Epistle to the Hebrews	希伯來書新約書信之一；鼓勵猶太教友要堅持信德，並說明新約超越舊約；作者大概是聖保祿或其門徒。 
Lutheran Church	路德會；信義會；信義宗基督教派之一， 1517 年由馬丁．路德(1483-1546)創始，強調人只要信便可得救。 
the Incarnation	聖子降生；道成肉（人）身指天主聖子降生成人的納匝肋人耶穌。 
Exaltation of the Cross	光榮十字聖架該慶日在九月十四日。 
occasion of sin	犯罪的機會某些外在環境（人、地、事、物）能製造犯罪的傾向和機會，譬如在花街柳巷閒逛，難免不起淫念、失去理性，而犯下罪過。所以世人應盡力避免犯罪機會，以免陷入誘惑。 
public vow	公願；公開誓願信友在教會見證下，向天主許諾的誓願（約）。與私願相對照。 
national church	 (1) 國家教會；獨立教會。 (2) 國家教堂；國民教堂；僑民教堂以語言、文化為背景而異於當地教會的教堂；如美國各大都市的波蘭語教堂、華人教堂等是。 
general absolution	集體赦罪在特殊情形下，如有死亡危險或嚴重需要，而無法個別告明時，可以集體方式同時赦免眾多懺悔者之罪過（法典 961)。 
mystical body	奧體；基督奧體。詳見 mystical body 。 
the five Sacred Wounds	 五傷耶穌被釘在十字架時，身上共有五處傷口，即雙手、雙足及肋旁。 
collegiality of bishops	世界主教團以教宗為首，以眾主教為成員，經由聖事的祝聖，和在聖統制內與元首教宗及其他成員的共融而組成；世界主教團以宗徒團繼承人身份，在教宗領導下，治理普世教會（法典 336)。 
apostolic visitor	宗座視察員代表教宗（廷）視察教區或修會的專員。 
finding of the Japanese Christian	尋獲日本教友聖方濟．薩威於 1549 年登陸日本傳佈福音，不多幾年，教友直線上升到廿萬人。可惜好景不常，隨即遭受教難，多人殉道，教友成了無牧之羊。其後兩個半世紀，外人不得進入。直到 1855 年門戶始有限度開放，巴黎外方傳教會的柏若望神父(P. Petitjean)登陸長崎傳教； 1865 年 3 月 17 日 ，一群來自浦上的日本人參觀他新建的聖堂，見到聖母抱耶穌像喜極而泣，並問神父是否獨身？經證實與祖先呂吹男叛魷嚳螅杖環 ? 至肆 ? 轡皇 ? ?槳俁嗄輟 ? 雜謝釔眯叛齙慕逃眩 × 僥旰螅?槭諧?婕Ｊ降厝菪淼鋇亟逃炎雜苫?Ｔ諶氈久磕甑 ? 月 17 日訂為尋獲教友節。 
Pontifical Biblical Institute	宗座聖經學院 1909 年由教宗碧岳十世創立於羅馬。 
holiday of obligation	教會法定節日；停工瞻禮按教會規定，法定節日（在中國指主日及耶誕節），教友應參加彌撒並停止勞力工作，舊稱「罷工」瞻禮（參閱法典 1246-1247)。 
Holy Doors	聖門指羅馬聖伯鐸、聖保祿、聖母、聖若望拉特朗四大殿的大門，平時關閉(1975 年之前由磚砌成），聖年時打開，表示聖年的開始。凡從聖門進入（並履行某些規定）者都可以獲得聖年大赦。聖門之開啟與關閉大禮均由教宗親自主持。 
pontifical universities	宗座大學由教廷（教育部）設立的大學。 
national synod	全國教務會議某國的全體主教共同召集的宗教會議，以商討全國性的宗教事務。 
the millenium	千年（說）；千福年；千禧年王國；太平盛世教會初期，有人根據默示錄（廿 4-6)，誤認為世界末日即將來臨，來臨前將有千年之升平時期（盛世）。事實上，千年只表示一段不確定的時期而已。又稱 Chiliasm 。 
Roman Curia	羅馬教廷；教廷是教宗處理普世教會事務的機構，即以教宗名義和權力，促進全教會的利益並為之服務；教廷包括國務院、聖部、委員會、法庭以及其他機構，詳見本書附錄。拉丁文為 Curia Romana ，英文又稱作 Holy See 。 
the Angelicum	 (1) 天使大學中世紀道明會創辦於羅馬， 1910 年改今名，以紀念聖道茂。 (2) 天使大學學報。 
the Sacrament of Confirmation	堅振聖事；堅信禮（基）乃耶穌建立七件聖事之一；是主教（神父）先向領堅振的教友覆手祈禱，而後在其額上傅油，同時念「請藉此印記＋，領受天恩聖神」，透過聖事賦予的神印，使領受的人更密切地與教會結合，進而更堅強地為基督作見證（法典 879)。乃聖洗聖事的補充和加強，亦即基督徒的成人禮。 
the laity	平信徒；教友；教徒；信友；在俗教友教友的身分來自聖洗和堅振聖事，成為天主的子民；以自己的身體當作生活、聖潔和悅樂天主的祭品，在世俗領域中表達自己的信仰；在聖統制領導下，成為教會的一份子；但有別于聖職人員 clergy 。參閱 lay 。 
Book of Zachary	匝加利亞書；撒迦利亞書（基）。舊約先知書之一；先知在該書的前編（一至八章）勸百姓改惡遷善，後編（九至十四章）描述征服敵人後，那位和平的君王（默西亞－彌賽亞）要凱旋地建立普世的王國。亦稱 Zachariah 或 Zacharias 。
liturgical year	教會年（日）曆。同 year, ecclesiastical 。 
the Christian era	基督紀元；主曆；西元今日所使用之基督紀元，源自羅馬一個隱修院的狄奧尼修院長(Dionysius Exiguus)於 532 年推測耶穌誕生於羅馬建城後 753 年(753 A .U.C.)，可能有六年的誤差；倒也無傷大雅。事實上基督紀元已為全球所公認。 
apostolic association	使徒工作；使徒傳教。 
Councils of Lyons	里昂大公會議。詳見本書附錄。 
apostolic administration	宗座署理區某地區（教友）因特殊、重大理由而未成立教區，委託宗座署理 apostolic administrator 以教宗名義治理之，稱為宗座署理區（法典 371)。 
Our Lady of Mount Carmel	加美樂山聖母。詳見 Carmel, Our Lady of Mount 。 
episcopal throne	主教寶座在主教座堂內專為主教設立的座位。 
Book of Daniel	達尼爾書；但以理書（基）舊約先知書之一。該書主旨是天主是惟一、真實、全能、全知、統治萬國萬世、超然存在的神；祂藉世界的古今萬國，以達到祂建立神國之目的。 
vegetative soul	生魂；生命之魂指植物之魂，植物只有生魂；為士林哲學用語。 
Requiem (L.) Mass	亡者彌撒；追思彌撒；安魂彌撒；殯葬彌撒；煉靈彌撒；黑彌撒拉丁文 Requiem 意為安息，為早年亡者彌撒經文的第一句；全句為「主啊，求賜與他們永遠的安息」（加下十二 38-45)。亦即 Mass of the dead 。 
the State of Vatican City	梵蒂岡國；梵蒂岡城邦遠自羅馬皇帝君士坦丁（西元 313 年）公佈米蘭詔書後，教宗就陸續接受教友捐獻的土地，十五世紀時教宗的土地累積到一萬六千多平方哩，居民三百萬。自 1860 年始，義大利王國逐漸併吞教宗的國土，至 1870 年連羅馬也據為己有。教宗自囚梵蒂岡宮內以示不滿。 1929 年義大利政府與教宗締結「拉特朗協定」，正式成立梵蒂岡獨立國，成為世界最小的國家，位於羅馬市西北隅，占地 108.7 英畝－包括著名的伯鐸大殿和博物館，教宗為元首，僅有約一千居民－多為辦公的神父及會士，另有數百教友公務人員。 1985 年義大利再將另十所（教堂）建築和教宗的岡道爾夏宮也歸還梵蒂岡教廷。 
Immaculate Conception	無染原罪；無原罪始胎指天主在聖母受孕時，預防了她玷染原罪，亦即天主之母的一生，沒有一天在罪的勢力之下。拉丁文稱作 Conceptio Immaculata 。 
the Flood	洪水；洪水滅世。又稱 Deluge （創六 9 ；八 14)。 
secular insitute	俗世會是基督徒生活在世俗中，度獻身生活的團體（會），經由追求完美之愛德，從內部做起，努力使世界聖化（參閱法典 710-730)。 
Universal Church	普世教會指全球性的信仰團體－至公性的教會，與至一性、至聖性、宗徒性共同組成教會四大特徵。與地方、個別教會相對照。 
Holy Communion	聖體本意指基督聖體與領受者的融合，亦泛指教友間的團契。 
Friars of the Atonement	贖罪兄弟會乃美國聖公會數位神父于 1898 年，在華（特）遜神父(Paul James Francis Watson, 1863-1940)領導之下所創的修會；奉行聖方濟會規，並提倡合一祈禱。 1909 年全會改宗天主教。該會縮寫為 S.A. 。 
Most Blessed Sacrament	聖體聖事耶穌最後晚餐時，拿起餅來，祝謝了，擘開，遞給門徒說「這是我的身體，為你們而捨棄的。你們應為紀念我而行此禮。」晚餐以後，耶穌同樣拿起杯來，說「這杯是用我為你們流出的血而立的新約。」（路廿二 19-20)。教會舉行此成聖體禮稱為舉行（作）彌撒或感恩祭。彌撒中的聖體聖事是紀念基督的死亡及復活，是敬禮的巔峰和泉源，是最崇高的聖事－因基督自己兼作奉獻和犧牲（食糧），也是其他聖事及使徒工作的連系中心（法典 897)。彌撒中祝聖聖體、聖血後，司祭和教友領受此聖餅（聖血）稱為領聖體（聖血）；敬禮此聖餅（聖血）稱為朝拜耶穌聖體。 
pastoral theology	牧靈神學；神牧神學；傳教學講授聖職人員如何做好聖職人員分內之工作，就是效法善牧耶穌，牧放羊群－人靈（若十 1-20)。 
general confession	總告解將某時期內，未告過或已告過之罪，全盤告明，以示謙虛認罪決心。 
religious order	修會由教會批准，矢發三（顯式）聖願、度共同奉獻生活之教會團體。 Order 狹義僅指古代修會如本篤會 O.S.B. 、思定會 O.S.A. 、方濟會 O.F.M. 、道明會 O.P. 等。廣義則指一切修會。 
the Grail movement	女教友傳教會訓練婦女傳教領袖的團體； 1921 年成立于荷蘭。 
apostolic 教宗祝福 blessing	教宗接見會眾或舉行禮儀（結束）時的祝福。教宗每主日中午循例在伯鐸廣場右側樓房第三個窗口，朗誦三鐘經後，降福會眾；復活節及耶誕節在伯鐸陽臺賜「全城及全球 urbi et orbi 」降福。又稱 papal blessing 。 
Act of Consecration of Mankind to the Sacred Heart of Jesus	奉獻人類於耶穌聖心（敬禮）天主教對耶穌聖心敬禮之一種。 
erroneous conscience	錯誤的良心良心對道德之判斷發生主觀上的偏差。 
Sacred Congregation of the Propagation of the Faith	傳信部；佈道部為教廷聖部之一，由教宗國瑞十五世(Gregory XV)成立於 1622 年，管理世界傳教地區，現改稱「萬民福音部 Congregation for the Evangelization of Peoples 」。 
to hear Mass	參與（加）彌撒；望彌撒；聽彌撒國人多用「望彌撒」，而「參與彌撒」是比較正確的用語。 
Book of Sophonias	索福尼亞書；西番雅書（基）舊約先知書之一，完成於西元前七世紀，明言天主的正義不會寬恕叛逆的百姓。也可寫成 Zephaniah 。 
private Mass	私誦彌撒；私人彌撒；私彌撒司祭個人為私自的虔誠理由所舉行的彌撒，以別於為會眾福祉而舉行的堂區（公）彌撒 Mass, parochial 。 
Epistle to Philemon	費肋孟書；腓利門書（基）保祿書信之一。保祿要求費肋孟不要處罰畏罪脫逃的一個奴隸、已領洗的敖訥息摩，應以弟兄之誼相待，堪稱基督自由宣言。 
popular religion	民間宗教指民間基層的信仰，是一種對生命的目標及其終極意義的直覺性之理解，表達在（優良）習俗、傳統及民間活動中。又稱通俗信仰或常民信仰，其特色是 (1) 沒有教主， (2) 沒有入教儀式， (3) 沒有教團， (4) 教義是儒、釋、道、巫四部份的混合儒的祖先崇拜、釋的經典、道的儀式、巫的法術融合而成。是道地的民族性傳統宗教。 
mystical vision	神見；神示；神視；異象；直觀指人祈禱時，突然由內心浮現的某種形像或知覺，感覺與天主近在咫尺。 
Our Lady	我們的聖母對聖母瑪利亞最通俗、最親切的稱呼。 
Eastern Orthodox Church	東正教會指十一至十五世紀間與天主教會分裂之東歐及西亞一帶之教會，分裂原因多為個人恩怨及政治性者；梵蒂岡第二屆大公會議聲明天主教友在特殊情況下，可以領受東正教之聖事。稱東正教以別於東方之基督一性教派及聶斯多略異端教派。 
minister of the sacrament	施行聖事的人；主持聖事的人一般都由司祭（司鐸、主教）主持。與領受聖事的人或領聖事者相對照。 
pontifical Mass	主教彌撒；教宗彌撒指主教或教宗主持的彌撒。 
semipublic oratory	半公開小教堂修會或某社團之專用教堂。 
Gospel of St. Matthew	瑪竇福音；馬太福音（基）新約四福音之一，傳說瑪竇於西元 60 年以阿拉美語寫成；後譯為希臘文，原文已不復見。此福音是寫給巴勒斯坦的猶太人，故多引用舊約，以證明耶穌為先知所預言的救世者。 
prayer of the faithful	信友禱詞。詳見 prayer of the faithful 。 
Mount of Olives	橄欖山乃耶路撒冷城東北的小山，耶穌由此山升天（宗一 12)。 
pectoral cross	胸前十字教會高級神長的胸前佩帶的十字苦像。 
religious service	宗教儀式。 
Noe's Ark	諾厄方舟洪水滅世時，上主指示諾厄一家八口進入方舟避難，逃過一劫（創六 9 ；九 17)。又稱 Noah's Ark 。 
the Little Hours	時經；日間祈禱日課經中按時公誦之四段較短經文，即一時經、三時經、六時經、九時經；目前一時經已取消，其他改為午前、午時、午後祈禱。參閱 Breviary 。 
primacy of Peter	伯鐸首席權伯鐸因率先承認耶穌是默西亞、永生天主之子而被主立為宗徒首領、教會的磐石，掌管天國之鑰（瑪十六 16-19)，並要他牧放自己的羊群（若廿一 15 ff.)。參閱 Peter's Chair, St. 。 
ecclesiastical year	教會年（日）曆；禮儀年比一般的年曆約早一個月，從耶誕節前四周之將臨期開始，詳列全年教會的各個節慶和節期，作為教會舉行彌撒、日課及禮儀的指南。 
Society of Friends	公誼會；貴格會；教友派為基督教派之一支，十七世紀中葉由福克斯(George Fox)成立於英國，反對形式上的宗教，注重所謂「內心之光」。 
Immaculate Heart of Mary	聖母無玷聖心。詳見 Sacred Heart of Mary 。 
holy water	 聖水；祝聖過的水通常置於聖堂入口處，教友沾聖水畫十字以求淨化心靈。有時彌撒開始前，先舉行灑（撒）聖水禮。 
Congregation for the Discipline of the Sacraments	聖事部 1908 年由教宗碧嶽十世(St. Pius X)所創立，主管有關聖事事宜，如婚姻及聖秩（神品）有效的檢定等。 
delegated jurisdiction	委任管理權。 
Epistle to the Colossians	哥羅森書；哥羅西書（基）新約聖保祿書信之一；是保祿寫於羅馬獄中的書信，除推崇基督高超的尊位外，同時也勸勉信友抗拒邪說謬理，專務修德。 
spiritual father	神師神父；神修導師指導靈修生活的神父。 
ordinary of the Mass	彌撒常用經文彌撒經文中，通常不改變的部分。 
power of the keys	天鑰聖權；鑰匙權教會神權之象徵。 
College of Cardinals	樞機團。詳見 Collge of Cardinals 。 
the last things	萬民四末人生的最後歸宿，亦即死亡、審判、天堂、地獄。又稱 four last things 。 
regular clergy	修會聖職人員；入會聖職人員以別于教區聖職人員 diocesan clergy 。 
eternal life	永生泛指無限的生命，亦即與三位一體天主共融的生命。廣義而言，也指人類與無限美善的天主親密結合，分享天主的生命藉恩寵在今生只能望梅止渴、窺豹一斑而已，於死後方能完全享有、歎為觀止。 
ex (L.) cathedra	 (1) 聖座隆重宣言教宗以其不能錯誤的最高權威，對全教會正式頒佈有關教義或道德的決定。 (2) 寶座設于主教座堂，為主教專用的座位。參閱 cathedral 。 
papal definition	欽定信條；教理決定；訂定信德道理教宗以教會元首名義對有關信理和道德所作的正式宣佈。 
Council of Florence	翡冷翠大公會議。詳見本書附錄。 
diocesan curia	 (1) 主教助理協助主教治理教區的一些助手。 (2) 教區公署；教區辦事處；主教公署；主教府由教區的某些機構與人員所組成，以協助主教治理整個教區（法典 469-474)。同 bishop's house 。 
Apparition of Our Lady at Lourdes	露德聖母顯現 1858 年聖母于法國西南部小鎮露德，十八次顯現給牧羊少女（聖）伯爾納德(Bernadette Soubirous)，指示世人應祈禱悔改，並自稱為始孕無染原罪者。此後朝聖人潮絡繹不絕，並有奇跡出現。紀念露德聖母顯現節為二月十一日。教宗若望保祿二世定此日為世界病患日。 
